Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,TRACKR EPEATS,REST,TEMPOR UN,REST,LONGR UN
Week 2,8 x 400 meters with 400-meter recovery between,Rest or Cross-Train,2 miles at ST,Rest or Cross-Train,5 miles at LT
Week 3,5 x 800 meters with 400-meter recovery between,Rest or Cross-Train,3 miles at ST,Rest or Cross-Train,6 miles at LT
Week 4,2 x 1600 meters with 400-meter recovery between 1 x 800 meter with 400-meter recovery between,Rest or Cross-Train,2 miles at ST 1 mile easy 2 miles at ST,Rest or Cross-Train,5 miles at LT
Week 5,400600 800 800 600 400 meters with 400-meter recovery between,Rest or Cross-Train,4 miles at MT,Rest or Cross-Train,6 miles at LT
Week 6,4 x 1000 meters with 400-meter recovery between,Rest or Cross-Train,3 miles at ST,Rest or Cross-Train,7 miles at LT
Week 7,1600 1200 800400 with 400-meter recovery between,Rest or Cross-Train,1 mile at ST 1 mile easy 1 mile at ST 1 mile easy 1 mile at ST,Rest or Cross-Train,6 miles at LT
Week 8,TRACKR EPEATS,REST,TEMPROU N,REST,LONGRU N
Week 9,10 x 400 meters with 90-sec recovery between,Rest or Cross-Train,4 miles at MT,Rest or Cross-Train,8 miles at LT
Week 10,6 x 800 meters with 90-sec recovery between,Rest or Cross-Train,2 miles at ST 1 mile easy 2 miles at ST,Rest or Cross-Train,7 miles at LT
Week 11,4 x 1200 meters with 400-meter recovery between,Rest or Cross-Train,3 miles at ST,Rest or Cross-Train,7 miles at LT
Week 12,5 x 1000 meters with 400-meter recovery between,Rest or Cross-Train,2 miles at ST 1 mile easy 1 mile at ST 1 mile easy 2 miles at ST,Rest or Cross-Train,7 miles at LT
Week 13,3 x 1600 meters with 400-meter recovery between,Rest or Cross-Train,3 miles at ST,Rest or Cross-Train,6 miles at LT
Week 14,6 x 400 meters with 60-sec recovery between,Rest or Cross-Train,3 miles easy No additional warmup or cooldown,Rest or Cross-Train,Rest or Cross-Train
