Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,15 min 5 min brisk walk 5 min run/walk 5 min walk,Strength Training Glute StabiliY-,20-30 min Cross-train,Rest,25 min 10 min brisk walk 5 min run/walk 10 min walk
Week 2,15 min 5 min brisk walk 5 min run/walk 5 min walk,Strength Training Glute Stabilizy,20-30 min Cross-train,Rest,30min 10 min brisk walk 10 min run/walk 10 min walk
Week 3,17min 5 min brisk walk 7 min run/walk 5 min walk,Strength Training Glute Stabilizy,20-30 min Cross-train Strength Training Abs,Rest,35 min 10 min brisk walk 15 min run/walk 10 min walk
Week 4,15 min 5 min brisk walk 10 min run/walk 5 min walk Strength Training Glute Stabilizy,Strength Training Arms Abs,20min 5 min brisk walk 10 min run/walk 5 min walk Strength Training Glute Stabilizy,Rest,35 min 10 min brisk walk 15 min run/walk 10 min walk
Week 5,20min 5 min brisk walk 10 min run/walk 5 min walk Strength Training Glute Stabilizy,Rest,30min Cross-train Strength Training Abs,Rest,40min 10 min brisk walk 20 min run/walk 10 min walk
Week 6,25min 5 min brisk walk 15 min run/walk 5 min walk Strength Training Glute Stabilit_y,Strength Training Arms Abs,22 min 5 min brisk walk 12 min run/walk 5 min walk Strength Training Glute Stabilit_y,Rest,45 min 10 min brisk walk 25 min run/walk 10 min walk
Week 7,25min 5 min brisk walk 15 min run/walk 5 min walk Strength Training Glute Stabilit_y,Strength Training Arms Abs,25 min 5 min brisk walk 15 min run/walk 5 mi walk Strength Training Glute Stabilit_y,Rest,45 min 10 min brisk walk 25 min run/walk 10 min walk
Week 8,30 min 5 min brisk walk 20 min run/walk 5 min walk Strength Training Glute Stabilit_y,Strength Training Arms Abs,27min 5 min walk 17 min run/walk 5 min walk Strength Training Glute Stabilit_y,Rest,45 min 10 min brisk walk 30 min run/walk 5 min walk
Week 9,30 min 5 min brisk walk 20 min run/walk 5 min walk Strength Training Glute Stabilit_y,Strength Training Arms Abs,25 min 5 min brisk walk 15 min run/walk 5 min walk Strength Training Glute Stabilit_y,Rest,50min 10 min brisk walk 35 min run/walk 5 min walk
Week 10,25min 5 min brisk walk 15 min run/walk 5 min walk Strength Training Glute Stabilit_y,Rest,25 min 5 min brisk walk 15 min run/walk 5 min walk Strength Training Glute Stabilit_y,Rest,Rest
