Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5-9 miles
Week 2,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 3,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,10 miles
Week 4,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with 3 at Race Pace
Week 5,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,12 miles
Week 6,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 7,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,14 miles
Week 8,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with 3 at Race Pace
Week 9,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,17 miles
Week 10,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 11,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,20 miles
Week 12,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with 3 at Race Pace
Week 13,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 14,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,23 miles
Week 15,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with 3 at Race Pace
Week 16,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 17,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,26 miles
Week 18,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with 3 at Race Pace
Week 19,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 20,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,RACE DAY
