Week,Tuesday,Wednesday,Thursday,Friday,Saturday
Week 1,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,2 miles
Week 2,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,3 miles
Week 3,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,4 miles
Week 4,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 5,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,6 miles
Week 6,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,7miles
Week 7,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,8 miles
Week 8,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 9,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,10 miles
Week 10,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 11,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,12 miles
Week 12,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 13,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,14 miles
Week 14,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 15,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,17 miles
Week 16,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 17,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,20 miles
Week 18,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 19,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 20,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,23 miles
Week 21,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 22,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 23,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,26 miles
Week 24,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles
Week 25,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,5 miles with Magic Mile
Week 26,Rest or Cross-Train,30-45 min Run/Walk,Easy Walk,Rest,RACE DAY
