Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,track repeats,Day Off,tempo run,Day Off,long run,Day Off
2,Day Off,8 x 400 meters with 400-meter,Day Off,3.2 km at speed threshold,Day Off,8 km at lactate threshold,Day Off
3,Day Off,5 x 800 meters with 400-meter,Day Off,4.8 km at speed threshold,Day Off,9.7 km at lactate threshold,Day Off
4,Day Off,2 x 1600 meters with 400-meter 1 x 800 meter with 400-meter,Day Off,3.2 km at speed threshold 1.6 km easy 3.2 km at speed threshold,Day Off,8 km at lactate threshold,Day Off
5,Day Off,"400,600, 800, 800, 600, 400 meters with 400-meter",Day Off,6.4 km at marathon threshold,Day Off,9.7 km at lactate threshold,Day Off
6,Day Off,4 x 1000 meters with 400-meter,Day Off,4.8 km at speed threshold,Day Off,11.3 km at lactate threshold,Day Off
7,Day Off,"1600, 1200, 800,400 with 400-meter",Day Off,1.6 km at speed threshold 1.6 km easy 1.6 km at speed threshold 1.6 km easy 1.6 km at speed threshold,Day Off,9.7 km at lactate threshold,Day Off
1,Day Off,track repeats,Day Off,tempo run,Day Off,long run,Day Off
2,Day Off,10 x 400 meters with 90-seconds,Day Off,6.4 km at marathon threshold,Day Off,12.9 km at lactate threshold,Day Off
3,Day Off,6 x 800 meters with 90-seconds,Day Off,3.2 km at speed threshold 1.6 km easy 3.2 km at speed threshold,Day Off,11.3 km at lactate threshold,Day Off
4,Day Off,4 x 1200 meters with 400-meter,Day Off,4.8 km at speed threshold,Day Off,11.3 km at lactate threshold,Day Off
5,Day Off,5 x 1000 meters with 400-meter,Day Off,3.2 km at speed threshold 1.6 km easy 1.6 km at speed threshold 1.6 km easy 3.2 km at speed threshold,Day Off,11.3 km at lactate threshold,Day Off
6,Day Off,3 x 1600 meters with 400-meter,Day Off,4.8 km at speed threshold,Day Off,9.7 km at lactate threshold,Day Off
7,Day Off,6 x 400 meters with 60-seconds,Day Off,4.8 km easy; No additional warmup or cooldown,Day Off,Day Off,Day Off
