Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,track repeats,Day Off,tempo run,Day Off,long run,Day Off
2,Day Off,12 x 400 meters with 90-seconds,Day Off,3.2 km easy; 4.8 km at speed threshold; 1.6 km easy,Day Off,12.9 km at half marathon pace + 20 seconds/mile,Day Off
3,Day Off,"400,600, 800, 1200, 800, 600,400 with 400-meter",Day Off,1.6 km easy; 8 km at marathon threshold; 1.6 km easy,Day Off,14.5 km at half marathon pace + 20 seconds/mile,Day Off
4,Day Off,6 x 800 meters with 90-seconds,Day Off,3.2 km easy 4.8 km at speed threshold 1.6 km easy,Day Off,16.1 km easy,Day Off
5,Day Off,5 x 1000 meters with 400-meter,Day Off,1.6 km easy 4.8 km at speed threshold 1.6 km easy,Day Off,14.5 km at half marathon pace + 20 seconds/mile,Day Off
6,Day Off,3 x 1600 meters with 60-seconds,Day Off,1.6 km easy 9.7 km at lactate threshold 1.6 km easy,Day Off,17.7 km at half marathon pace + 30 seconds/mile,Day Off
7,Day Off,2 x 1200 meters between 4 x 800 meters between,Day Off,1.6 km easy 3.2 km at marathon threshold 1.6 km easy 3.2 km at marathon threshold 1.6 km easy,Day Off,16.1 km at half marathon pace + 20 seconds/mile,Day Off
8,Day Off,6 x 800 meters with 90-seconds,Day Off,1.6 km easy 8 km at marathon threshold 1.6 km easy,Day Off,19.3 km at half marathon pace + 30 seconds/mile,Day Off
9,Day Off,2x: 6 x 400-meters with 90-seconds 2 minutes 30 seconds between sets,Day Off,1.6 km easy 3.2 km at marathon threshold 1.6 km easy 3.2 km at marathon threshold 1.6 km easy,Day Off,12.9 km at half marathon pace + 20 seconds/mile,Day Off
1,Day Off,track repeats,Day Off,tempo run,Day Off,long run,Day Off
2,Day Off,2 x 1600 meters with 60-seconds 2 x 800 meters with 60-seconds,Day Off,1.6 km easy 8 km at marathon threshold 1.6 km easy,Day Off,20.9 km at half marathon pace + 30 seconds/mile,Day Off
3,Day Off,4 x 1200 meters with 2-minutes,Day Off,1.6 km easy 9.7 km at marathon threshold 1.6 km easy,Day Off,16.1 km at half marathon pace + 20 seconds/mile,Day Off
4,Day Off,"1000,2000, 1000, 1000; with 400-meter",Day Off,1.6 km easy 8 km at marathon threshold 1.6 km easy,Day Off,22.5 km at half marathon pace + 30 seconds/mile,Day Off
5,Day Off,3 x 1600 meters with 400-meter,Day Off,9.7 km easy,Day Off,16.1 km at half marathon pace + 20 seconds/mile,Day Off
6,Day Off,10 x 400 meters with 400-meter,Day Off,1.6 km easy 8 km at marathon threshold 1.6 km easy,Day Off,24.1 km at half marathon pace + 30 seconds/mile,Day Off
7,Day Off,2 x 1200 meters with 2-minutes 4 x 800 meters with 2-minutes,Day Off,1.6 km easy 8 km at marathon threshold 1.6 km easy,Day Off,19.3 km at half marathon pace + 20 seconds/mile,Day Off
8,Day Off,5 x 1000 meters with 400-meter,Day Off,3.2 km easy 4.8 km at speed threshold 1.6 km easy,Day Off,12.9 km at half marathon pace + 20 seconds/mile,Day Off
9,Day Off,6 x 400 meters with 400-meter,Day Off,4.8 km easy; no additional warmup or cooldown,Day Off,Day Off,Day Off
