Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,4.8 km Easy Run,Day Off
1,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,4.8 km Easy Run,Day Off
1,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,4.8 km Easy Run,Day Off
1,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,4.8 km Easy Run,Day Off
1,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,6.4 km Easy Run,Day Off
6,Day Off,Day Off,Day Off,6.4 km with 3.2 km at marathon pace,Day Off,6.4 km Easy Run,12.9 km long slow distance
6,Day Off,Day Off,Day Off,6.4 km with 3.2 km at marathon pace,Day Off,6.4 km Easy Run,16.1 km long slow distance
6,Day Off,Day Off,Day Off,6.4 km with 3.2 km at marathon pace,Day Off,6.4 km Easy Run,9.7 km long slow distance
6,Day Off,Day Off,Day Off,8 km with 4.8 km at marathon pace,Day Off,8 km Easy Run,16.1 km long slow distance
6,Day Off,Day Off,Day Off,8 km with 4.8 km at marathon pace,Day Off,8 km Easy Run,Day Off
11,Day Off,Day Off,Day Off,8 km with 4.8 km at marathon pace,Day Off,8 km Easy Run,22.5 km long slow distance
11,Day Off,Day Off,Day Off,11.3 km with 4.8 km at marathon pace,Day Off,9.7 km Easy Run,11m iles long slow distance
11,Day Off,Day Off,Day Off,11.3 km with 6.4 km at marathon pace,Day Off,11.3 km Easy Run,25.7 km long slow distance
11,Day Off,Day Off,Day Off,11.3 km with 6.4 km at marathon pace,Day Off,11.3 km Easy Run,29 km long slow distance
11,Day Off,Day Off,Day Off,12.9 km with 6.4 km at marathon pace,Day Off,12.9 km Easy Run,32.2 km long slow distance
16,Day Off,Day Off,Day Off,9.7 km with 6.4 km at marathon pace,Day Off,9.7 km Easy Run,22.5 km long slow distance
16,Day Off,Day Off,Day Off,12.9 km with 8 km at marathon pace,Day Off,12.9 km Easy Run,32.2 km Easy Run
16,Day Off,Day Off,Day Off,11.3 km with 8 km at marathon pace,Day Off,11.3 km Easy Run,22.5 km long slow distance
16,Day Off,Day Off,Day Off,8 km Easy Run,Day Off,8 km Easy Run,12.9 km long slow distance
16,Day Off,Day Off,Day Off,4.8 km Easy Run,Day Off,4.8 km Easy Run,Day Off
