Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,6.4 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,8 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,8 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km Easy Run,Day Off,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,9.7 km Easy Run,Day Off,6.4 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,9.7 km Easy Run,Day Off,8 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,9.7 km Easy Run,Day Off,6.4 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,9.7 km Easy Run,Day Off,9.7 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,9.7 km Easy Run,Day Off,6.4 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,9.7 km Easy Run,Day Off,6.4 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,8 km Easy Run,Day Off,8 km Easy Run,Day Off
8,Day Off,Day Off,Day Off,4.8 km Easy Run,4.8 km Easy Run,Day Off,3.2 km Easy Run
