Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Quality Day,Day Off,Reg/Easy Run,Day Off,Flex Day,Long Run/Quiz
2,Day Off,4.8 km,Day Off,4.8 km,Day Off,Day Off,4.8 km or 30 minutes
3,Day Off,Tempo,Day Off,4.8 km,Day Off,Flex Day,6.4-8 km or 40-50 minutes
4,Day Off,Intervals,Day Off,4.8-8 km,Day Off,Day Off,9.7-11.3 km or 60-70 minutes
5,Day Off,Tempo,Day Off,4.8-8 km,Day Off,Flex Day,11.3-12.9 km or 60-70 minutes
6,Day Off,Hills,Day Off,6.4-9.7 km,Day Off,Day Off,9.7 km or 60 minutes
7,Day Off,Intervals,Day Off,8-11.3 km,Day Off,Flex Day,12.9-16.1 km or 100 minutes
8,Day Off,Tempo,Day Off,8-11.3 km,Day Off,Day Off,9.7 km or 60 minutes
9,Day Off,Intervals,Day Off,6.4-9.7 km,Day Off,Flex Day,16.1-19.3 km or 120 minutes
10,Day Off,Taper Tempo,Day Off,4.8-8 km,Day Off,Day Off,Taper Time 40 minutes
11,Day Off,Taper Intervals,Day Off,4.8 km,Day Off,Day Off,13.1-Mile Race
