Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,14x 400m starting @ 10 km pace and working down to 5 km pace with 60,30-50 minutes easy or Off,4x 1.6 km @ half marathon pace with 90 seconds,30-50 minutes,40-60 minutes,Day Off
2,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,"5x 1000m, 4x 200m starting @ half marathon and working down to 10 km pace, 200s @ 5 km paces",30-50 minutes easy or Off,12x 60 seconds Hill @ 10 km effort with jog,30-50 minutes,40-60 minutes,Day Off
3,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,7x 800m starting @ half marathon pace with,30-50 minutes easy or Off,The Michigan,30-50 minutes,40-60 minutes,Day Off
4,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,"5x 1200m, 4x 200m starting @ half marathon pace and working down to 10 km pace, 200s @ 5 km paces with 90",30-50 minutes easy or Off,10x 75 seconds Hill @ 10 km effort with jog,30-50 minutes,40-60 minutes,Day Off
5,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,10x 600m starting @ 10 km pace with,30-50 minutes easy or Off,3x 3.2 km @ half marathon pace with 2 minutes,30-50 minutes,40-60 minutes,Day Off
6,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,Deek s Quarters,30-50 minutes easy or Off,12x 60 seconds Hill @ 10 km effort with jog,30-50 minutes,40-60 minutes,Day Off
7,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,14x 400m starting @ 10 km pace and working down to mile pace,30-50 minutes easy or Off,2x 4.8 km @ half marathon pace with 2 minutes,30-50 minutes,40-60 minutes,Day Off
1,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,9.7-12.9 km
2,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,9.7-12.9 km
3,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,12.9-16.1 km
4,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,12.9-16.1 km with miles 6-8 at goal race pace
5,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1-19.3 km
6,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1-19.3 km with miles 8-10 at goal race pace
7,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,19.3-22.5 km
1,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,9.7-12.9 km
2,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,12.9-16.1 km
3,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1-19.3 km
4,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1-19.3 km with miles 8-10 at goal race pace
5,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1-22.5 km
6,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,22.5-25.7 km with miles 10-12 at goal race pace
7,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,22.5-25.7 km
1,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,7x 1000m starting @ half marathon pace and working down to 10 km pace,30-50 minutes easy or Off,10x 75 seconds Hill @ 10 km effort with jog,30-50 minutes,40-60 minutes,Day Off
2,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,"6x 800, 4x400m starting @ half marathon pace and working down to 10 km pace, 400s @ 5 km paces",30-50 minutes easy or Off,Mona Fartlek,30-50 minutes,40-60 minutes,Day Off
3,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,20x 200m starting @ 10 km pace and working down to mile pace,30-50 minutes easy or Off,5x 1.6 km starting @ half marathon pace and working down to 10 km pace,30-50 minutes,40-60 minutes,Day Off
4,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,"5x 1200m, 2x 400m starting @ half marathon pace and working down to 10 km pace, 400s @ 5 km pace with",30-50 minutes easy or Off,8 km progression from Marathon to half marathon pace,30-50 minutes,40-60 minutes,Day Off
5,40-60 minutes + 10x 100m soft surface strides,Yasso 800s,30-50 minutes easy or Off,3x 3.2 km at half marathon pace,30-50 minutes,40-60 minutes,Day Off
6,40-60 minutes + 8x 100m soft surface strides + 10-15 minutes cool down,"6x 800, 4x200m starting @ half marathon pace and working down to 5 km pace, 200s @ Mile pace",30-50 minutes easy or Off,4x 2.4 km starting @ half marathon pace and working down to 10 km pace with,30-50 minutes or Off,40-60 minutes,Day Off
7,40-60 minutes,"2x 1.6 km @ marathon pace, 2x 800m @ 5 km",30-50 minutes easy or Off,60 minutes run,30-50 minutes or Off,4.8 km shake out run,Day Off
1,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,22.5-25.7 km
2,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,27.4-30.6 km
3,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,22.5-25.7 km with miles 10-12 at goal race pace
4,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,32.2-35.4 km
5,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,22.5-25.7 km with miles 10-12 at goal race pace
6,Day Off,Day Off,Day Off,Day Off,Day Off,Day Off,16.1 km
