Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Quality Day,Day Off,Easy Run,Day Off,Day Off,Long Run/Quiz
2,Day Off,4.8 km,Day Off,4.8 km,Day Off,Day Off,4.8 km or 30 minutes
3,Day Off,Tempo,Day Off,4.8 km,Day Off,Day Off,6.4-8 km or 40-50 minutes
4,Day Off,Fartlek,Day Off,4.8-8 km,Day Off,Day Off,9.7-11.3 km or 60-70 minutes
5,Day Off,Tempo,Day Off,4.8-8 km,Day Off,Day Off,11.3-12.9 km or 70-80 minutes
6,Day Off,Hills,Day Off,6.4-9.7 km,Day Off,Day Off,9.7 km or 60 minutes
7,Day Off,Fartlek,Day Off,8-9.7 km,Day Off,Day Off,12.9-16.1 km or 100 minutes
8,Day Off,Tempo,Day Off,8-9.7 km,Day Off,Day Off,9.7 km or 60 minutes
9,Day Off,Fartlek,Day Off,6.4-9.7 km,Day Off,Day Off,14.5-17.7 km or 110 minutes
10,Day Off,Taper Tempo,Day Off,4.8-8 km,Day Off,Day Off,Taper Time 35 minutes
11,Day Off,Taper Intervals,Day Off,4.8 km,Day Off,Day Off,13.1-Mile Race
