Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,4.8 km Easy Run,11.3 km with Intervals,Day Off,0-4.8 km Easy Run,Day Off
1,Day Off,Day Off,4.8 km Easy Run,9.7 km with Intervals,0-4.8 km Easy Run,6.4 km Easy Run,Day Off
1,Day Off,Day Off,4.8 km Easy Run,11.3 km with Intervals,0-4.8 km Easy Run,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,11.3 km with Intervals,0-4.8 km Easy Run,6.4 km Easy Run,Day Off
1,Day Off,Day Off,6.4 km Easy Run,11.3-12.9 km with Intervals,0-4.8 km Easy Run,6.4 km Easy Run,Day Off
6,Day Off,Day Off,6.4 km Easy Run,11.3-12.9 km with Intervals,0-4.8 km Easy Run,4.8-6.4 km Easy Run,Day Off
6,Day Off,Day Off,6.4 km Easy Run,12.9 km with Intervals,0-4.8 km Easy Run,4.8 km Easy Run,Day Off
6,Day Off,Day Off,4.8-6.4 km Easy Run,11.3-12.9 km with Intervals,0-4.8 km Easy Run,8 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,12.9 km with Intervals,0-4.8 km Easy Run,4.8 km Easy Run,Day Off
1,Day Off,Day Off,Day Off,Day Off,3.2-4.8 km Easy Run,Day Off,Day Off
6,Day Off,Day Off,3.2-4.8 km Easy Run,9.7 km with Intervals,4.8 km Easy Run,Day Off,Day Off
