Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4 km Easy Run,Day Off,8 km with 4.8 km at half marathon pace,6.4 km Easy Run,Day Off
1,Day Off,Day Off,8 km Hills,Day Off,8 km with 4.8 km at half marathon pace,6.4 km Easy Run,Day Off
1,Day Off,Day Off,8 km Hills,Day Off,8 km with 4.8 km at half marathon pace,6.4 km Easy Run,Day Off
1,Day Off,Day Off,8 km Hills,Day Off,9.7 km with 6.4 km at half marathon pace,6.4 km Easy Run,Day Off
1,Day Off,Day Off,8 km Hills,4.8 km Easy Run,6.4 km with 3.2 km at half marathon pace,6.4 km Easy Run,Day Off
6,Day Off,Day Off,6.4 km with 3.2 km at half marathon pace,Day Off,11.3 km with 4.8 km atTemP-,6.4 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,4.8 km Easy Run,9.7 km with 6.4 km atTemP-,4.8 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,4.8 km Easy Run,11.3 km with 8 km atTemP-,6.4 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,4.8 km Easy Run,12.9 km with 6.4 km at half marathon pace,4.8 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,4.8 km Easy Run,8 km with 4.8 km at half marathon pace,4.8 km Easy Run,Day Off
