Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,15 minutes: 5 minutes brisk walk 5 minutes Run and Walk 5 minutes walk,Strength Training: Glute Stabili -,20-30 minutes,Day Off,25 minutes: 10 minutes brisk walk 5 minutes Run and Walk 10 minutes walk,Day Off
2,Day Off,15 minutes: 5 minutes brisk walk 5 minutes Run and Walk 5 minutes walk,Strength Training: Glute Stabilizy,20-30 minutes,Day Off,30min: 10 minutes brisk walk 10 minutes Run and Walk 10 minutes walk,Day Off
3,Day Off,17min: 5 minutes brisk walk 7 minutes Run and Walk 5 minutes walk,Strength Training: Glute Stabilizy,20-30 minutes: Strength Training: Abs,Day Off,35 minutes: 10 minutes brisk walk 15 minutes Run and Walk 10 minutes walk,Day Off
4,Day Off,15 minutes: 5 minutes brisk walk 10 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilizy,Strength Training: Arms Abs,20min: 5 minutes brisk walk 10 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilizy,Day Off,35 minutes: 10 minutes brisk walk 15 minutes Run and Walk 10 minutes walk,Day Off
5,Day Off,20min: 5 minutes brisk walk 10 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilizy,Day Off,30min: Strength Training: Abs,Day Off,40min: 10 minutes brisk walk 20 minutes Run and Walk 10 minutes walk,Day Off
1,Day Off,25min: 5 minutes brisk walk 15 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Strength Training: Arms Abs,22 minutes: 5 minutes brisk walk 12 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Day Off,45 minutes: 10 minutes brisk walk 25 minutes Run and Walk 10 minutes walk,Day Off
2,Day Off,25min: 5 minutes brisk walk 15 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Strength Training: Arms Abs,25 minutes: 5 minutes brisk walk 15 minutes Run and Walk 5 mi walk Strength Training: Glute Stabilit y,Day Off,45 minutes: 10 minutes brisk walk 25 minutes Run and Walk 10 minutes walk,Day Off
3,Day Off,30 minutes: 5 minutes brisk walk 20 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Strength Training: Arms Abs,27min: 5 minutes walk 17 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Day Off,45 minutes: 10 minutes brisk walk 30 minutes Run and Walk 5 minutes walk,Day Off
4,Day Off,30 minutes: 5 minutes brisk walk 20 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Strength Training: Arms Abs,25 minutes: 5 minutes brisk walk 15 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Day Off,50min: 10 minutes brisk walk 35 minutes Run and Walk 5 minutes walk,Day Off
5,Day Off,25min: 5 minutes brisk walk 15 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Day Off,25 minutes: 5 minutes brisk walk 15 minutes Run and Walk 5 minutes walk Strength Training: Glute Stabilit y,Day Off,Day Off,Day Off
