Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Pace Run; 5.0km; repetition: 4-5,Training Run; 8.0km; repetition: 3-4,Day Off,Training Run; 5.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 10.0km; repetition: 2-3
2,Day Off,Pace Run; 5.0km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 5.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 12.0km; repetition: 2-3
3,Day Off,Pace Run; 6.5km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 6.5km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 15.0km; repetition: 2-3
4,Day Off,Pace Run; 6.5km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 6.5km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 21.1km; repetition: 2-3
5,Day Off,Pace Run; 6.5km; repetition: 4-5,Training Run; 11.5km; repetition: 3-4,Day Off,Training Run; 6.5km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 18.0km; repetition: 2-3
6,Day Off,Pace Run; 6.5km; repetition: 4-5,Training Run; 11.5km; repetition: 3-4,Day Off,Training Run; 6.5km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 26.0km; repetition: 2-3
7,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 8.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 29.0km; repetition: 2-3
8,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 8.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 24.0km; repetition: 2-3
9,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 11.5km; repetition: 3-4,Day Off,Training Run; 8.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 34.0km; repetition: 2-3
10,Day Off,Pace Run; 6.5km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 6.5km; repetition: 3-4,Strength Training; 45-60 mins,Half Mara; 21.1km; repetition: 2-3
11,Day Off,Pace Run; 5.0km; repetition: 4-5,Training Run; 6.5km; repetition: 3-4,Day Off,Training Run; 5.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 13.0km; repetition: 2-3
12,Day Off,Training Run; 5.0km; repetition: 3-4,Day Off,Easy Run; 5.0km; repetition: 2-3,Day Off,Easy Run; 2.0km; repetition: 2-3,MARATHON; 42.2km; repetition: 5
