Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Pace Run; 5.0km; repetition: 4-5,Training Run; 7.0km; repetition: 3-4,Day Off,Training Run; 7.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 13.0km; repetition: 2-3
2,Day Off,Pace Run; 5.0km; repetition: 4-5,Training Run; 7.0km; repetition: 3-4,Day Off,Training Run; 7.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 16.0km; repetition: 2-3
3,Day Off,Pace Run; 6.0km; repetition: 4-5,Training Run; 8.0km; repetition: 3-4,Day Off,Training Run; 8.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 17.0km; repetition: 2-3
4,Day Off,Pace Run; 6.0km; repetition: 4-5,Training Run; 8.0km; repetition: 3-4,Day Off,Training Run; 8.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 14.0km; repetition: 2-3
5,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 10.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 19.0km; repetition: 2-3
6,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 10.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 24.0km; repetition: 2-3
7,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 11.0km; repetition: 3-4,Day Off,Training Run; 10.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 16.0km; repetition: 2-3
8,Day Off,Pace Run; 8.0km; repetition: 4-5,Training Run; 11.0km; repetition: 3-4,Day Off,Training Run; 11.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 26.0km; repetition: 2-3
9,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 15.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 29.0km; repetition: 2-3
10,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 11.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 22.0km; repetition: 2-3
11,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 13.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 30.0km; repetition: 2-3
12,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 10.0km; repetition: 3-4,Strength Training; 45-60 mins,HALF MARATHON; 21.1km; repetition: 5
13,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 13.0km; repetition: 3-4,Day Off,Training Run; 13.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 32.0km; repetition: 2-3
14,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 10.0km; repetition: 3-4,Day Off,Training Run; 10.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 20.0km; repetition: 2-3
15,Day Off,Pace Run; 10.0km; repetition: 4-5,Training Run; 8.0km; repetition: 3-4,Day Off,Training Run; 7.0km; repetition: 3-4,Strength Training; 45-60 mins,Long Run; 13.0km; repetition: 2-3
16,Day Off,Training Run; 5.0km; repetition: 3-4,Day Off,Easy Run; 5.0km; repetition: 2-3,Day Off,Easy Run; 3.0km; repetition: 2-3,MARATHON; 42.2km; repetition: 5
