Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Training Run; 6.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 6X1000m; CV Pace,Training Run; 5.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 16.0km; slow pace
2,Training Run; 8.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 5 km; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 18.0km; 3 km@goal pace
3,Training Run; 8.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 6X1000m; CV Pace,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 16.0km; slow pace
4,Training Run; 8.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 6 km; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 25 mins of; cross training,Long Run; 19.0km; 5 km@goal pace
5,Training Run; 8.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Intervals; 2x3k; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 30 mins of; cross training,Long Run; 21.0km; 5 km@goal pace
6,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 6X1000m; CV Pace,Training Run; 6.0km; 4:58 / km,Training Run; 10.0km; 4:58 / km,Day Off; or 30 mins of; cross training,Long Run; 18.0km; slow pace
7,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 10 km; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 10.0km; 4:58 / km,Day Off; or 30 mins of; cross training,Long Run; 21.0km; 5 km@goal pace
8,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 3x3k; 7-8 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 30 mins of; cross training,Long Run; 24.0km; 6 km@goal pace
9,Training Run; 8.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 11 km; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 22.0km; slow pace
10,Training Run; 10.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Intervals; 3x3k; 7-8 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off,Half Mara; 21.0km; Race/Time Trial
11,Training Run; 10.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Tempo; 13 km; 6-7 / 10 repetition,Training Run; 6.0km; 4:58 / km,Training Run; 11.0km; 4:58 / km,Day Off,Long Run; 26.0km; slow pace
12,Training Run; 13.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Intervals; 6X1000m; CV Pace,Training Run; 6.0km; 4:58 / km,Training Run; 13.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 24.0km; slow pace
13,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 13 km; 6-7 / 10 repetition,Training Run; 6.0km; 4:58 / km,Training Run; 9.5km; 4:58 / km,Day Off,Long Run; 29.0km; 8 km@goal pace
14,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 4x3k; 7-8 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 9.5km; 4:58 / km,Day Off,Long Run; 32.0km; slow pace
15,Training Run; 11.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Tempo; 13 km; 6-7 / 10 repetition,Training Run; 6.0km; 4:58 / km,Training Run; 10.0km; 4:58 / km,Day Off; or 30 mins of; cross training,Half Marathon; 21.0km; 4:52 / km
16,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Tempo; 16 km; 6-7 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 11.0km; 4:58 / km,Day Off,Long Run; 32.0km; 10 km@goal pace
17,Training Run; 8.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Intervals; 5x3k; 7-8 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 8.0km; 4:58 / km,Day Off,Long Run; 35.0km; slow pace
18,Training Run; 10.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 6X1000m; CV Pace,Training Run; 5.0km; 4:58 / km,Training Run; 10.0km; 4:58 / km,Day Off; or 20 mins of; cross training,Long Run; 22.0km; 6 km@goal pace
19,Training Run; 6.0km; 4:58 / km,Training Run; 5.0km; 4:58 / km,Intervals; 3x3k; 7-8 / 10 repetition,Training Run; 5.0km; 4:58 / km,Training Run; 6.0km; 4:58 / km,Day Off,Long Run; 16.0km; 5 km@goal pace
20,Training Run; 5.0km; 4:58 / km,Training Run; 3X1000m; CV Pace,Day Off,Short Run; 5.0km; Easy pace,Day Off,Training; 5.0km; Easy Pace,MARATHON; 42.0km; 4:52 / km
