Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,6.4 km with 2 at Race Pace,Easy Walk,Day Off,19.3-22.5 km,Day Off
2,Day Off,Day Off,8 km with 3 at Race Pace,Easy Walk,Day Off,6.4 km Repeats,Day Off
3,Day Off,Day Off,6.4 km with 2 at Race Pace,Easy Walk,Day Off,22.5-27.4 km,Day Off
4,Day Off,Day Off,8 km with 3 at Race Pace,Easy Walk,Day Off,9.7 km Repeats,Day Off
5,Day Off,Day Off,6.4 km with 2 at Race Pace,Easy Walk,Day Off,27.4-32.2 km,Day Off
6,Day Off,Day Off,8 km with 3 at Race Pace,Easy Walk,Day Off,8 km with Magic Mile,Day Off
7,Day Off,Day Off,6.4 km with 2 at Race Pace,Easy Walk,Day Off,12.9 km Repeats,Day Off
8,Day Off,Day Off,8 km with 3 at Race Pace,Easy Walk,Day Off,32.2-37 km,Day Off
9,Day Off,Day Off,6.4 km with 2 at Race Pace,Easy Walk,Day Off,9.7 km with 4 at Race Pace,Day Off
10,Day Off,Day Off,8 km with 3 at Race Pace,Easy Walk,Day Off,16.1 km Repeats,Day Off
1,Day Off,Day Off,Day Off,Easy Walk,Day Off,8 km with Magic Mile,Day Off
2,Day Off,Day Off,Day Off,Easy Walk,Day Off,37-41.8 km,Day Off
3,Day Off,Day Off,Day Off,Easy Walk,Day Off,9.7 km with 4 at Race Pace,Day Off
4,Day Off,Day Off,Day Off,Easy Walk,Day Off,19.3 km Repeats,Day Off
5,Day Off,Day Off,Day Off,Easy Walk,Day Off,8 km with Magic Mile,Day Off
6,Day Off,Day Off,Day Off,Easy Walk,Day Off,41.8-46.7 km,Day Off
7,Day Off,Day Off,Day Off,Easy Walk,Day Off,9.7 km with 4 at Race Pace,Day Off
8,Day Off,Day Off,Day Off,Easy Walk,Day Off,22.5 km Repeats,Day Off
9,Day Off,Day Off,Day Off,Easy Walk,Day Off,8 km with Magic Mile,Day Off
10,Day Off,Day Off,Day Off,Easy Walk,Day Off,race day AY,Day Off
