Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Distance Run; 6 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Distance Run; 6 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Day Off,Long Run; 14.0km; repetition 3-4
2,Day Off,Distance Run; 7 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Distance Run; 7 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Day Off,Long Run; 15.0km; repetition 3-4
3,Day Off,Distance Run; 8 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Distance Run; 7 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Day Off,Long Run; 16 km; repetition 3-4
4,Day Off,Distance Run; 9 km; repetition 3-4,Recovery Run; 5 km; repetition 2-3,Distance Run; 8 km; repetition 3-4,Recovery Run; 6 km; repetition 2-3,Day Off,Long Run; 17.0km; repetition 3-4
5,Day Off,Distance Run; 10.0km; repetition 3-4,Recovery Run; 6 km; repetition 2-3,Distance Run; 9 km; repetition 3-4,Recovery Run; 6 km; repetition 2-3,Day Off,Long Run; 19.0km; repetition 3-4
6,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 1 km (5:27 / km),Recovery Run; 6 km; repetition 2-3,Hill Repeats; 10 x 30 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 6 km; repetition 2-3,Day Off,Long Run; 17.0km; repetition 3-4
7,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 7 km; repetition 2-3,Hill Repeats; 10 x 45 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 7 km; repetition 2-3,Day Off,Long Run; 19.0km; repetition 3-4
8,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 7 km; repetition 2-3,Hill Repeats; 8 x 60 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 7 km; repetition 2-3,Day Off,Long Run; 21.0km; repetition 3-4
9,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Hill Repeats; 6 x 90 sec uphill (repetition 9-10) / Jog back to start point,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 23.0km; repetition 3-4
10,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 7 km; repetition 2-3,Threshold Intervals; 3 x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 7 km; repetition 2-3,Day Off,Half Marathon; 19.0km; repetition 3-4
11,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Threshold Intervals; 3 x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 22.0km; repetition 3-4
12,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 2 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Threshold Intervals; 3 x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 24.0km; repetition 3-4
13,Day Off,Race Pace Run; 2 km (5:27 / km) 1 km (recovery jog) 3 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Threshold Intervals; 3 x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 8 km; repetition 2-3,Day Off,Long Run; 26.0km; repetition 3-4
14,Day Off,Race Pace Run; 3 km (5:27 / km) 1 km (recovery jog) 3 km (5:27 / km),Recovery Run; 7 km; repetition 2-3,Tempo Run; Tempo 3 km (repetition 6-7),Recovery Run; 7 km; repetition 2-3,Day Off,Long Run; 20 km repetition 3-4 5 km race pace 5:27/km; Total: 25 km
15,Day Off,Race Pace Run; 4 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Tempo Run; Tempo 4 km (repetition 6-7),Recovery Run; 8 km; repetition 2-3,Day Off,Long Run: 27 km; 10 km repetition 3-4; 5 km race pace 5:27/km 7 km repetition 3-4 5 km race pace 5:27/km
16,Day Off,Race Pace Run; 5 km (5:27 / km),Recovery Run; 8 km; repetition 2-3,Tempo Run; Tempo 5 km (repetition 6-7),Recovery Run; 8 km; repetition 2-3,Day Off,Long Run: 28 km; 10 km repetition 3-4; 6 km race pace 5:27/km 6 km repetition 3-4 6 km race pace 5:27/km
17,Day Off,Race Pace Run; 6 km (5:27 / km),Recovery Run; 9 km; repetition 2-3,Tempo Run; Tempo 4 km (repetition 6-7),Recovery Run; 9 km; repetition 2-3,Day Off,Long Run; 30 km; repetition 3-4
18,Day Off,Race Pace Run; 5 km (5:27 / km),Recovery Run; 7 km; repetition 2-3,Threshold Intervals; 3 x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 7 km; repetition 2-3,Day Off,Long Run; 25.0km; repetition 3-4
19,Day Off,Race Pace Run; 3 km (5:27 / km),Recovery Run; 6 km; repetition 2-3,Threshold Intervals; 2x 1 km (5:06/km) / 1 km recovery jog,Recovery Run; 6 km; repetition 2-3,Day Off,Long Run; 10 km repetition 3-4 7 km race pace 5:27/km; Total: 17 km
20,Day Off,Race Pace Run; 5 km (5:27 / km),Recovery Run; 6 km; repetition 2-3,Easy Run with Strides; 7 km; 10 x 10 sec strides; repetition 3,Day Off,Shake Out Run; 5 km; repetition 1-2,MARATHON DAY; 42.2 km; 5:27 / km
